Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1911	2.00	4.68	2.22	5.11	1.67	4.58	3.34	5.17	1.89	2.21	4.38	11.01
1912	2.92	4.21	6.00	11.73	4.02	5.66	5.37	3.06	2.46	2.45	0.65	5.14
1913	12.30	4.71	4.54	1.65	2.66	0.90	4.09	0.85	1.79	2.93	1.84	2.45
1914	1.56	2.03	4.33	3.83	3.01	2.95	2.58	8.64	1.46	2.80	2.13	5.06
1915	5.89	1.01	2.14	0.72	4.94	1.42	2.03	6.03	4.63	0.42	6.75	6.44
1916	7.62	1.19	3.60	2.49	5.37	4.62	4.17	4.27	1.92	2.67	1.00	4.29
1917	7.27	2.76	8.06	4.05	4.75	8.03	3.25	3.02	1.51	2.25	0.85	1.46
1918	7.43	1.54	1.86	3.39	3.61	2.70	3.63	3.05	3.75	3.44	1.36	4.56
1919	4.71	2.19	8.67	2.66	8.67	3.96	1.83	6.80	1.33	8.35	7.89	3.28
1920	7.35	1.92	3.25	8.58	3.18	3.81	3.00	6.85	4.15	2.75	2.60	2.99
1921	3.11	4.70	5.95	3.50	1.15	2.29	4.56	2.85	3.72	2.93	5.68	1.76
1922	2.90	3.89	9.32	4.53	4.39	5.37	6.15	3.83	3.28	0.75	1.80	6.29
1923	5.89	4.36	7.69	4.26	4.31	4.42	2.13	9.60	1.44	1.23	2.87	4.32
1924	5.40	3.44	1.74	3.55	6.39	0.91	4.36	2.59	2.64	0.03	1.25	5.36
1925	2.70	4.88	3.34	3.74	1.95	2.18	1.74	1.02	3.52	6.99	4.52	1.10
1926	4.48	2.06	3.88	2.45	2.15	2.17	3.68	8.30	2.52	4.64	4.64	13.53
1927	3.27	4.26	9.66	7.38	3.63	4.49	1.59	1.86	1.65	3.75	4.48	2.69
1928	2.55	2.64	3.26	3.22	2.89	11.64	3.62	4.62	0.68	6.82	2.63	1.38
1929	3.85	3.81	6.48	3.93	6.46	2.02	6.59	0.51	4.85	4.05	4.79	3.33
1930	3.82	3.68	5.14	1.16	5.23	1.59	1.22	4.69	3.88	2.11	3.19	2.09
1931	1.31	5.05	3.49	2.44	1.92	2.31	2.47	3.94	1.54	1.86	3.75	6.33
1932	7.74	5.80	4.89	7.20	1.32	2.91	3.40	1.70	4.32	4.94	1.88	4.43
1933	3.51	6.21	6.14	4.17	9.94	1.76	5.37	2.79	3.66	1.23	1.47	6.40
1934	2.99	2.61	7.99	2.24	1.61	5.79	3.85	1.87	4.52	2.02	1.45	2.57
1935	6.96	3.63	6.96	4.51	3.51	2.81	4.50	2.29	2.33	1.51	2.77	0.91
1936	3.52	1.52	8.40	3.70	1.41	0.21	8.33	0.59	1.86	3.38	3.52	4.72
1937	14.75	1.90	1.57	3.73	5.33	2.65	2.49	2.17	2.05	4.31	2.06	3.12
1938	5.81	1.82	4.78	2.23	4.35	4.98	5.93	2.38	3.40	0.47	3.06	2.00
1939	6.80	8.87	4.83	3.96	1.98	4.85	3.11	1.87	0.95	1.13	1.48	2.68
1940	1.13	5.06	7.63	5.24	3.32	2.84	2.17	1.33	0.87	1.30	3.71	2.44
1941	1.81	0.64	1.71	2.40	0.87	2.61	7.12	3.64	0.62	2.12	2.81	3.89
1942	2.81	3.50	3.82	4.22	2.39	1.87	2.77	8.31	1.82	3.05	2.27	6.06
1943	1.44	1.88	8.43	2.97	5.29	1.61	2.51	1.55	5.98	0.81	1.61	3.44
1944	2.74	7.14	5.81	3.85	4.33	1.33	0.87	6.26	4.40	0.68	2.40	7.10
1945	3.47	7.50	1.72	5.51	5.70	2.73	5.15	1.83	3.40	2.09	9.04	3.91
1946	8.97	4.28	5.48	3.45	3.73	1.30	4.86	2.22	4.13	1.80	5.11	4.04
1947	7.62	1.07	2.69	3.56	6.47	2.44	4.56	3.05	0.47	2.10	3.21	2.48
1948	5.59	7.73	6.49	1.15	1.65	1.64	1.65	2.07	3.31	1.59	7.85	5.58
1949	7.12	2.94	5.46	5.27	5.65	7.16	4.25	2.87	0.76	4.38	0.54	5.68
1950	13.92	7.78	3.77	1.58	4.10	4.69	7.75	6.66	3.59	1.65	6.60	2.17
1951	10.54	2.94	5.16	4.75	0.83	7.40	3.79	0.95	2.92	4.35	4.16	10.60
1952	5.10	4.10	9.87	2.01	2.81	0.78	1.30	4.12	3.65	1.36	2.33	2.38
1953	7.09	3.31	5.52	4.53	5.57	1.90	6.62	1.20	1.00	0.42	0.70	3.45
1954	7.65	4.00	4.22	4.42	3.80	2.42	0.71	1.61	4.28	2.93	1.12	5.57
1955	1.25	6.76	9.87	4.62	2.92	2.94	1.76	4.02	4.26	2.04	3.78	1.21
1956	5.67	10.31	4.08	4.23	2.87	2.42	1.94	1.89	0.28	1.99	1.73	6.53
1957	9.39	5.24	2.85	2.79	8.23	7.06	1.83	2.55	4.09	3.89	6.31	5.84
1958	2.60	1.61	3.92	6.35	2.72	3.30	6.15	5.10	3.04	1.24	3.38	1.49
1959	3.26	4.60	3.71	2.49	5.20	2.41	3.90	2.54	3.73	6.13	4.96	5.04
1960	3.22	5.40	4.37	2.04	3.16	9.37	1.46	1.72	3.96	1.38	2.72	3.62
1961	1.44	5.33	6.52	4.50	4.36	2.96	5.34	2.62	0.35	1.12	3.87	6.50
1962	6.51	9.07	5.89	6.91	1.87	7.29	1.97	2.45	8.03	2.29	3.37	1.92
1963	1.60	2.83	10.03	3.37	2.47	3.09	5.33	7.63	3.43	NA  	2.43	2.15
1964	3.70	3.26	4.01	5.86	5.04	1.21	2.16	4.56	2.65	1.83	3.67	5.15
1965	2.98	4.71	6.13	5.72	3.12	2.74	3.32	2.53	5.02	0.57	1.82	1.01
1966	3.93	3.63	1.39	5.08	3.99	1.09	2.70	5.29	3.87	2.50	2.76	5.69
1967	1.62	1.78	4.44	3.40	6.98	4.23	7.46	2.06	1.93	1.57	3.87	5.88
1968	3.50	0.64	4.47	3.57	6.28	2.26	6.87	0.69	2.76	3.92	5.39	3.58
1969	4.96	4.48	2.12	6.03	4.81	3.34	5.33	2.27	2.06	2.01	1.83	8.03
1970	1.16	4.36	3.87	6.81	5.90	6.73	3.61	2.99	2.76	2.94	2.20	3.60
1971	2.66	4.70	2.95	3.34	2.93	3.47	5.00	5.87	2.11	1.27	1.18	5.17
1972	5.15	3.45	4.34	3.58	3.52	2.54	6.40	4.30	3.71	4.06	5.22	8.14
1973	3.40	3.63	9.88	7.00	5.72	4.80	7.67	1.79	1.56	3.32	7.78	3.23
1974	9.45	3.01	5.25	3.97	5.04	6.80	2.10	4.13	10.44	1.47	6.23	2.81
1975	4.67	5.22	12.35	3.55	6.52	2.22	2.96	4.69	5.42	5.86	3.00	4.12
1976	4.11	2.28	5.32	1.53	6.19	4.72	4.01	8.05	5.08	5.17	1.30	1.81
1977	2.53	3.27	5.83	7.87	1.65	4.29	1.15	4.65	5.04	4.22	5.96	4.25
1978	5.95	1.57	4.88	2.42	8.03	1.46	4.03	3.81	1.37	2.28	4.01	13.63
1979	7.13	4.01	4.92	7.80	8.18	2.79	4.27	4.59	11.44	3.97	5.98	5.04
1980	2.59	1.38	7.27	3.67	6.14	2.89	3.53	1.24	1.09	1.17	2.55	1.40
1981	1.60	3.83	3.38	4.78	3.05	8.05	3.49	3.10	1.37	2.82	3.83	2.38
1982	6.50	4.80	3.00	4.36	4.19	2.28	5.47	3.46	3.23	1.91	3.87	6.36
1983	2.56	2.93	3.44	6.80	11.04	3.93	1.71	1.36	0.45	2.77	6.98	7.75
1984	1.79	2.38	5.14	8.41	9.68	4.49	6.63	2.42	0.97	6.00	6.20	2.38
1985	3.02	3.30	2.70	2.91	2.65	1.53	2.00	3.91	2.52	1.59	3.81	0.98
1986	0.19	3.59	2.29	0.52	3.36	2.38	0.77	3.38	2.19	2.19	7.43	3.31
1987	1.61	4.87	1.18	1.03	4.41	2.82	2.56	0.73	1.95	0.21	3.40	5.46
1988	3.73	2.02	2.18	2.09	1.86	0.45	3.26	2.39	2.45	1.54	5.49	3.95
1989	4.52	9.36	5.31	2.68	4.61	7.87	3.18	3.67	6.30	3.62	3.94	1.97
1990	2.76	4.73	3.26	1.60	2.80	2.37	4.86	3.12	2.13	4.41	4.29	10.76
1991	2.92	5.44	4.25	3.35	5.63	1.25	2.82	1.79	5.47	3.88	2.87	7.27
1992	2.97	2.60	4.50	0.77	3.12	4.31	5.89	3.25	3.45	1.62	4.48	2.88
1993	2.76	3.33	5.50	3.33	4.50	5.31	3.64	1.76	2.90	2.20	2.53	6.62
1994	4.36	6.18	7.56	5.72	3.76	8.08	4.82	5.05	4.20	3.31	4.04	2.69
1995	5.61	1.81	3.87	3.95	7.66	3.69	1.95	3.40	5.00	5.60	3.98	2.32
1996	3.82	2.46	5.15	3.68	4.48	3.68	5.45	1.09	4.88	3.16	6.00	4.77
1997	4.19	3.10	9.64	2.42	4.92	6.66	3.26	3.52	5.75	2.71	6.59	2.19
1998	3.68	4.11	3.13	6.31	4.46	11.95	4.63	2.93	1.39	1.59	1.30	6.53
1999	9.28	2.33	4.27	2.29	4.35	3.56	3.19	3.05	1.97	2.04	2.99	2.50
2000	3.52	3.75	3.34	6.23	7.66	1.74	2.25	1.95	1.90	0.26	6.39	3.44
2001	3.21	8.54	2.73	2.42	5.54	4.47	2.77	4.07	1.79	4.61	5.09	3.32
2002	4.93	1.99	9.40	4.31	3.98	3.76	5.64	3.13	6.29	4.48	2.91	5.81
2003	1.59	8.47	2.30	4.69	10.73	7.08	2.87	3.88	8.70	1.80	4.17	3.19
2004	3.60	5.77	4.81	6.69	6.90	3.39	3.19	4.24	4.55	4.90	5.21	5.93
2005	4.42	3.84	3.90	6.93	1.03	2.70	2.39	6.89	1.44	0.02	3.29	2.46
2006	6.57	2.69	2.90	4.14	4.95	2.19	2.64	5.20	4.00	2.98	4.05	3.41
2007	3.32	1.84	2.26	2.75	3.30	2.37	1.47	1.38	1.99	4.95	6.20	3.83
2008	4.76	2.53	5.56	7.20	5.54	2.21	4.32	1.67	0.88	5.03	1.75	6.72
2009	4.59	2.85	2.92	4.13	8.45	4.53	6.03	2.14	11.08	6.49	0.67	3.99
2010	4.13	2.77	3.52	3.48	16.43	4.96	5.86	6.99	1.17	2.49	5.41	1.87
2011	2.31	5.54	4.59	7.51	4.38	5.04	3.46	1.78	6.20	0.93	6.15	4.25
