mmsi,num_names,names,sov,flag,flag_type,num_loas,loa,max_loa,num_types,type
642262,10,Abdel Rahman K/Al Sayad/Al Zien/Aman/Atlantean/Elmascher 3/Hai De Wei/Nuevo Leon/Tan Thanh Phu Ii/Usns Hunter,Y,Socialist People's Libyan Arab Jamahiriya ,Foreign,1,55.0,55.0,1,MilOps
693559,1,Winslow C Kelsey],N,Unknown,Unknown,1,40.0,40.0,1,Tug
883085,1,Us Gov Vessel,Y,Unknown,Unknown,1,205.0,205.0,1,Unknown
1193046,168,Albacore/American Freedom/Amsterdam/Amy Chouest/Amy Chuest/Amy.chouest/Anakena/Angie Brusco/Angie M Brusco/Annita/Anuq/Aphalt Seminole/Asian Sun/Asphalt Seminole/Atlantic Raider/Baffin Strait/Belua Foundation/Bj Challenger/Bobbie/Bounty/C Atlas/C Commando/C Pioneer/California Hornblowe/Capt Ed/Capt Hardhead/Capt.hardhead/Caribou/Caribou 57/Carolyn Ane/Cave Cay 1/Ccni Cartagena/Chahunta/Chrysoula S/Cma Cgm Sapphire/David Brusco/Db Arapaho/Dbarapaho/Delta Clipper/Delta Falcon/Delta Falon/Delta Freedom/Dolphin/Edward Brusco/Elizabeth  Ann/Elizabeth An/Elizabeth Ann/Elpuma Grande/Fast Bandit/Fast Temptress/Fast Temtress/Freedom/Garden State/General E Lee/Grizzly 60/Gulf South 1/Gulfsouth1/Hanjin Philadelphia/Hardhead/Helen/Independence/Intl Patriot/Jay Gene/Jesse B/Jesse B./Jim Markco/John Michael E/John Parish/John Parrish/Joshua Chouest/Joyce B Gardiner/Kline Danos/Lady Lara/Lady Simpson/Loriag/Lucrative/Majestic/Marrybennett/Mary Bennet/Mary Bennett/Meg L/Meg L Skansi/Meg L Skasi/Mexican Bay/Minnie Falgout/Mis Anne/Miss Angela/Miss Courtney/Miss Flo/Miss Kimberly/Mr Devin/Mr. Jessie/Mr.jessie/Mrjessie/Ms Angela/Ms Anne/Msc Colombia/Nanuq/Nauticast/Nayticast/Neva Belle/Nick L Skani/Nick L Skansi/Nick Skani/Nick Skansi/Nickskansi/Nik Skansi/Nikola/Ocean Inspector/Ocean Inspetor/Ocean Intervention/Ocean Intervention 2/Ocean Ntervention 2/Ocean Project/Ocean Victory/Oceanintervention Ii/Pam G/Panda/Paros I/Paz Colombia/Port Imp Manhattan/Prinsendam/R/v Seawolf/R\\v Robert Hayes/R\v Robert Hayes/Rachele Brusco/Ranger/Raven/Raven 56/Robert Hayes/Sammy G/Samuel S Coursen/Sarah Grace/Sea Constructor/Seacor Rigorous/Seaprobe/Seminol/Sharon Gail/Sidney V/Silver Cloud/Silvergate/Sonny Cook/Star Hansa/Star Ismene/Stim Star 2/Superior Integrity/Susan G/Sy Ranger/Sydney V/Tampa Seahorse/Terrier/Therese/Time For Us/Toscana/Trent Joseph/Tropic Atlantic/Tropic Canada/Tug David Brusco/Vanessa Rae/Vera Biso/Vera Bisso/Westertal/William Breckinridge/Xa-udm/Ym Hambrg/Ym Shanghai/Ym Shanhai/Zaandam,N,Unknown,Unknown,84,20.0/21.0/22.0/23.0/24.0/25.0/26.0/28.0/29.0/30.0/31.0/32.0/33.0/34.0/35.0/36.0/37.0/38.0/40.0/41.0/45.0/46.0/47.0/49.0/50.0/55.0/59.0/60.0/61.0/62.0/63.0/64.0/65.0/67.0/73.0/74.0/75.0/76.0/77.0/78.0/79.0/80.0/82.0/85.0/87.0/90.0/91.0/92.0/98.0/99.0/101.0/102.0/105.0/106.0/107.0/108.0/109.0/118.0/119.0/130.0/139.0/144.0/145.0/148.0/160.0/180.0/189.0/190.0/192.0/195.0/198.0/200.0/208.0/211.0/220.0/225.0/238.0/241.0/258.0/259.0/282.0/293.0/294.0/669.0,669.0,14,BigTow/Cargo/Diving/Dredging/Fishing/MilOps/Other/Passenger/Pilot/Pleasure/Sailing/Tanker/Towing/Tug
1193946,2,Jan Marie/Niz C Gisclair,N,Unknown,Unknown,2,34.0/67.0,67.0,2,Other/Towing
1233916,1,Double Barrel,N,Unknown,Unknown,1,20.0,20.0,1,Pleasure
1239468,1,Handy Three,N,Unknown,Unknown,1,22.0,22.0,1,Unknown
3041300,1,Paz Colombia,N,Antigua and Barbuda ,Foreign,1,118.0,118.0,1,Cargo
3543200,1,Ubc Miami,N,Panama (Republic of) ,Foreign,1,108.0,108.0,1,Other
3663760,1,President Jackson,N,United States of America ,Domestic,1,275.0,275.0,1,Cargo
3688360,1,Bob Hope,Y,United States of America ,Domestic,1,289.0,289.0,1,Cargo
7718175,1,Myra,N,Unknown,Unknown,1,145.0,145.0,1,Cargo
8011330,1,Star Evviva,N,Unknown,Unknown,1,180.0,180.0,1,Cargo
8616300,1,President Jackson,N,Unknown,Unknown,1,275.0,275.0,1,Cargo
8819287,1,Iberian Reefer,N,Unknown,Unknown,1,109.0,109.0,1,Cargo
9146601,1,Ljubljana,N,Unknown,Unknown,1,181.0,181.0,1,Cargo
9226700,1,Panthera,N,Unknown,Unknown,1,118.0,118.0,1,Cargo
9263842,1,Asphaltseminole,N,Unknown,Unknown,1,109.0,109.0,1,Tanker
9263942,2,Asphalt Seminole/Asphaltseminole,N,Unknown,Unknown,1,109.0,109.0,1,Tanker
11813100,1,Gale Winds,N,Unknown,Unknown,1,33.0,33.0,1,Pleasure
12345678,3,012345678/Bluefin/Lisa Marie,N,Unknown,Unknown,3,22.0/25.0/55.0,55.0,3,Fishing/Other/Towing
21021000,1,Pontoklydon,N,Cyprus (Republic of) ,Foreign,1,169.0,169.0,1,Cargo
21846000,1,Islandia,N,Germany (Federal Republic of) ,Foreign,1,148.0,148.0,1,Cargo
23787800,1,Chrysoula S,N,Greece ,Foreign,1,189.0,189.0,1,Cargo
23814000,1,Split,N,Croatia (Republic of) ,Foreign,1,187.0,187.0,1,Cargo
24417800,1,Maas Trader,N,Netherlands (Kingdom of the) ,Foreign,1,139.0,139.0,1,Cargo
24663800,1,Ubc Miami,N,Netherlands (Kingdom of the) ,Foreign,1,108.0,108.0,1,Other
25762700,1,Star Evviva,N,Norway ,Foreign,1,180.0,180.0,1,Cargo
25874000,1,Star Florida,N,Norway ,Foreign,1,187.0,187.0,1,Cargo
25895400,1,Star Herdla,N,Norway ,Foreign,1,198.0,198.0,1,Cargo
25980300,1,Sks Trent,N,Norway ,Foreign,1,243.0,243.0,1,Tanker
30422500,1,Panthera,N,Antigua and Barbuda ,Foreign,1,118.0,118.0,1,Cargo
30447300,1,Jana,N,Antigua and Barbuda ,Foreign,1,132.0,132.0,1,Cargo
30453000,1,Cscl Jakarta,N,Antigua and Barbuda ,Foreign,1,208.0,208.0,1,Cargo
30474600,1,Bbc Plata,N,Antigua and Barbuda ,Foreign,1,139.0,139.0,1,Cargo
30537500,1,Leandra,N,Antigua and Barbuda,Foreign,1,146.0,146.0,1,Cargo
31944000,1,Silver Cloud,N,Cayman Islands ,Foreign,1,41.0,41.0,1,Pleasure
35517401,2,P/b Phantom/Phantom,N,Panama (Republic of) ,Foreign,1,20.0,20.0,1,Passenger
36376000,1,President Jackson,N,Unknown,Unknown,1,275.0,275.0,1,Cargo
36637600,1,Jackson,N,United States of America ,Domestic,1,276.0,276.0,1,Cargo
36676000,1,President Jackson,N,United States of America ,Domestic,1,275.0,275.0,1,Cargo
36690000,1,Laboon,N,United States of America ,Domestic,1,175.0,175.0,1,Unknown
36701490,1,John Parrish,N,United States of America ,Domestic,1,28.0,28.0,1,Towing
36708110,1,Big Stone Express,N,United States of America ,Domestic,1,25.0,25.0,1,Unknown
36713668,1,St Louis Express,N,United States of America ,Domestic,1,83.0,83.0,1,Cargo
36729000,2,Cgc Tampa/Coast Guard 902,Y,United States of America ,Domestic,1,65.0,65.0,1,SAR
36738443,1,Co,N,United States of America ,Domestic,2,0.0/33.0,33.0,1,Tug
36739381,2,Baylee Beyel/Megan Beyel,N,United States of America ,Domestic,2,25.0/30.0,30.0,2,Towing/Tug
36742760,1,Whitehawk,N,United States of America ,Domestic,1,33.0,33.0,1,Pleasure
36968098,1,Navy Unit 52,N,United States of America ,Domestic,1,184.0,184.0,1,Tanker
37067700,1,Orient Dream,N,Panama (Republic of),Foreign,1,176.0,176.0,1,Cargo
37408990,1,Singleton,N,Unknown,Unknown,1,28.0,28.0,1,Tug
47760750,1,Yue Liang Wan,N,Hong Kong (Special Administrative Region of China) ,Foreign,1,136.0,136.0,1,Tanker
53890215,1,Ecem Kalkavan,N,Marshall Islands (Republic of the) ,Foreign,1,148.0,148.0,1,Cargo
63609163,1,Vega Nikolas,N,Liberia (Republic of) ,Foreign,1,139.0,139.0,1,Cargo
63609632,1,Safmarin Cunene,N,Liberia (Republic of) ,Foreign,1,211.0,211.0,1,Cargo
67423560,1,Miss Stacy,N,Tanzania (United Republic of) ,Foreign,1,20.0,20.0,1,Other
68962000,1,Nike,N,Unknown,Unknown,1,343.0,343.0,1,Unknown
94429096,1,The Highlander,N,Unknown,Unknown,1,49.0,49.0,1,Pleasure
95477672,1,The Highlander,N,Unknown,Unknown,1,49.0,49.0,1,Pleasure
100000000,3,S/y Avalon/Sjokrigsskolen/Symmetry,N,Unknown,Unknown,3,27.0/30.0/35.0,35.0,3,Passenger/Pleasure/Sailing
110000000,1,Shuman,N,Unknown,Unknown,1,21.0,21.0,1,Other
110010010,2,Cathleen E.moran/Cathleen Moran,N,Unknown,Unknown,1,34.0,34.0,2,BigTow/Tug
111111111,12,Gallant Lady/Grenadier/Island Progress/Mr Scheffel/Pegasus Ii/S/y Avalon/Sassy/Seafarer/Solo Tu/Southern Cross/Test/Winchelsea Control,N,Unknown,Unknown,11,20.0/21.0/23.0/24.0/30.0/32.0/33.0/35.0/40.0/83.0/155.0,155.0,9,Cargo/Fishing/MilOps/Other/Pleasure/Sailing/Spare/Tender/Towing
111111119,1,Indiscretion,N,Unknown,Unknown,1,35.0,35.0,1,Pleasure
111111245,1,\m/- /+,N,Unknown,Unknown,1,32.0,32.0,1,Tanker
111850000,2,Fast Bullet/Mv Endless Summer,N,Unknown,Unknown,2,38.0/50.0,50.0,2,Passenger/Pleasure
123456789,33,Aschanti/Caa/Cielo Mare/David Mcallister/First Light/Furuno/Goose Bumps/Hos Base/Ironwood/Island Pilct/Island Pilot/Island Trader/Lori Ann/Lucky Dog Tender/M/v Test/M/y Journey/Mv Pathfinder Usace/My At Last/N/v-range Rover/Navico Ai50/Navy Tug Yt804/Northstar Lady Iii/Nrc Perseverance/Ocean King/Penny Lane/Range Rover/Sea Venture/Test/Test2/The Flying Dutchman/Tug Justice/Warbird/Whisper,N,Unknown,Unknown,13,20.0/21.0/22.0/25.0/30.0/31.0/32.0/33.0/35.0/38.0/41.0/51.0/55.0,55.0,11,AntiPol/BigTow/Fishing/Other/Passenger/Pilot/Pleasure/Resol-18/Sailing/Towing/Tug
191283710,1,Pyxis,N,Unknown,Unknown,1,30.0,30.0,1,Fishing
192837465,1,Edward J,N,Unknown,Unknown,1,23.0,23.0,1,Pleasure
205066000,1,Lowlands Patrasche,N,Belgium ,Foreign,1,190.0,190.0,1,Cargo
205250000,1,Fmg Matilda,N,Belgium ,Foreign,1,276.0,276.0,1,Cargo
205351000,1,Excel,N,Belgium ,Foreign,1,277.0,277.0,1,Tanker
205421000,1,Excalibur,N,Belgium ,Foreign,2,276.0/277.0,277.0,1,Tanker
205434000,1,Excellence,N,Belgium ,Foreign,1,277.0,277.0,1,Tanker
205445000,1,Excelerate,N,Belgium ,Foreign,1,277.0,277.0,1,Tanker
205493000,1,Safmarine Ngami,N,Belgium ,Foreign,1,210.0,210.0,1,Cargo
205506000,1,S/s Explorer,N,Belgium ,Foreign,2,277.0/291.0,291.0,1,Tanker
205526000,1,Express,N,Belgium ,Foreign,1,291.0,291.0,1,Tanker
205535000,1,Lowlands Orchid,N,Belgium ,Foreign,1,284.0,284.0,1,Cargo
205543000,1,Eupen,N,Belgium ,Foreign,1,149.0,149.0,1,Tanker
205551000,2,205551000/Exquisite,N,Belgium ,Foreign,2,1.0/291.0,291.0,2,Tanker/Unknown
205553000,1,Exemplar,N,Belgium ,Foreign,1,292.0,292.0,1,Tanker
205567000,1,Lowlands Opal,N,Belgium ,Foreign,1,190.0,190.0,1,Cargo
205609000,1,Sombeke,N,Belgium ,Foreign,1,180.0,180.0,1,Tanker
205612000,1,Bastogne,N,Belgium ,Foreign,1,174.0,174.0,1,Tanker
207048000,1,Dobrudja,N,Bulgaria (Republic of) ,Foreign,1,127.0,127.0,1,Cargo
207050000,1,Yordan Lutibrodski,N,Bulgaria (Republic of) ,Foreign,1,199.0,199.0,1,Cargo
207060000,1,Smolyan,N,Bulgaria (Republic of) ,Foreign,1,122.0,122.0,1,Cargo
207083000,1,Kamenitza,N,Bulgaria (Republic of) ,Foreign,1,185.0,185.0,1,Cargo
207116000,1,Kom,N,Bulgaria (Republic of) ,Foreign,1,142.0,142.0,1,Cargo
207122000,1,Plovdiv,N,Bulgaria (Republic of) ,Foreign,1,157.0,157.0,1,Cargo
207123000,1,Sofia,N,Bulgaria (Republic of) ,Foreign,1,157.0,157.0,1,Cargo
207125000,1,Pirin,N,Bulgaria (Republic of) ,Foreign,1,169.0,169.0,1,Cargo
209000876,1,Pacific Skipper,N,Cyprus (Republic of) ,Foreign,1,156.0,156.0,1,Cargo
209004000,1,Prisco Abakan,N,Cyprus (Republic of) ,Foreign,1,190.0,190.0,1,Cargo
209008000,1,Labrador,N,Cyprus (Republic of) ,Foreign,1,186.0,186.0,1,Cargo
209012000,1,Panamax Ride,N,Cyprus (Republic of) ,Foreign,1,230.0,230.0,1,Cargo
209017000,1,Ubc Tarragona,N,Cyprus (Republic of) ,Foreign,1,182.0,182.0,1,Cargo
209032000,1,Maria,N,Cyprus (Republic of) ,Foreign,1,225.0,225.0,1,Cargo
209038000,1,Orient Crusader,N,Cyprus (Republic of) ,Foreign,1,255.0,255.0,1,Cargo
209063000,1,Norfolk,N,Cyprus (Republic of) ,Foreign,1,288.0,288.0,1,Cargo
209073000,1,Parandowski,N,Cyprus (Republic of) ,Foreign,2,199.0/200.0,200.0,1,Cargo
209089000,1,Orient Transit,N,Cyprus (Republic of) ,Foreign,1,180.0,180.0,1,Cargo
209109000,1,Ubc Salaverry,N,Cyprus (Republic of) ,Foreign,1,172.0,172.0,1,Cargo
209118000,1,Mcp Goteborg,N,Cyprus (Republic of) ,Foreign,1,117.0,117.0,1,Cargo
209135000,1,Princess  Natalie,N,Cyprus (Republic of) ,Foreign,1,225.0,225.0,1,Cargo
209136000,1,Ubc Tampa,N,Cyprus (Republic of) ,Foreign,1,182.0,182.0,1,Cargo
209141000,1,Federal Patriot,N,Cyprus (Republic of) ,Foreign,1,143.0,143.0,1,Cargo
209148000,1,Good Luck,N,Cyprus (Republic of) ,Foreign,1,287.0,287.0,1,Cargo
209156000,1,Ubc Stavanger,N,Cyprus (Republic of) ,Foreign,1,172.0,172.0,1,Cargo
209175000,1,Marylaki,N,Cyprus (Republic of) ,Foreign,1,190.0,190.0,1,Cargo
209182000,1,Shoveler,N,Cyprus (Republic of) ,Foreign,1,185.0,185.0,1,Cargo
209188000,1,Adam Asnyk,N,Cyprus (Republic of) ,Foreign,2,199.0/200.0,200.0,1,Cargo
209218000,1,Ubc Sydney,N,Cyprus (Republic of) ,Foreign,1,172.0,172.0,1,Cargo
209239000,1,Federal Elbe,N,Cyprus (Republic of) ,Foreign,1,199.0,199.0,1,Cargo
209240000,1,Federal Leda,N,Cyprus (Republic of) ,Foreign,1,199.0,199.0,1,Cargo
209250000,1,Federal Pendant,N,Cyprus (Republic of) ,Foreign,1,143.0,143.0,1,Cargo
209263000,1,Orient Tribune,N,Cyprus (Republic of) ,Foreign,1,180.0,180.0,1,Cargo
209270000,1,Captain Antonis,N,Cyprus (Republic of) ,Foreign,1,229.0,229.0,1,Cargo
209293000,1,Summit Europe,N,Cyprus (Republic of) ,Foreign,1,228.0,228.0,1,Tanker
209312000,1,Onego Bora,N,Cyprus (Republic of) ,Foreign,1,117.0,117.0,1,Cargo
209336000,1,Mv Starling,N,Cyprus (Republic of) ,Foreign,1,190.0,190.0,1,Cargo
209340000,1,Master,N,Cyprus (Republic of) ,Foreign,1,160.0,160.0,1,Cargo
209355000,1,Kraszewski,N,Cyprus (Republic of) ,Foreign,1,200.0,200.0,1,Cargo
209369000,1,Csav Panamby,N,Cyprus (Republic of) ,Foreign,1,231.0,231.0,1,Cargo
209385000,1,Cape Mayor,N,Cyprus (Republic of) ,Foreign,1,222.0,222.0,1,Cargo
209393000,1,Ubc Sacramento,N,Cyprus (Republic of) ,Foreign,1,171.0,171.0,1,Cargo
209394000,1,Andes,N,Cyprus (Republic of) ,Foreign,1,182.0,182.0,1,Tanker
209396000,1,Cape Pioneer,N,Cyprus (Republic of) ,Foreign,1,289.0,289.0,1,Cargo
209406000,1,Himalaya,N,Cyprus (Republic of) ,Foreign,1,182.0,182.0,1,Tanker
209411000,1,Bellemar,N,Cyprus (Republic of) ,Foreign,1,222.0,222.0,1,Cargo
209428000,1,Orient Defender,N,Cyprus (Republic of) ,Foreign,1,186.0,186.0,1,Cargo
209447000,1,Adriatica Graeca,N,Cyprus (Republic of) ,Foreign,1,225.0,225.0,1,Cargo
209448000,1,Pantelis,N,Cyprus (Republic of) ,Foreign,1,249.0,249.0,1,Tanker
209452000,1,Onego Breeze,N,Cyprus (Republic of) ,Foreign,1,93.0,93.0,1,Cargo
209463000,1,Bluewing,N,Cyprus (Republic of) ,Foreign,1,187.0,187.0,1,Cargo
209486000,1,Leopold Staff,N,Cyprus (Republic of) ,Foreign,3,0.0/199.0/512.0,512.0,1,Cargo
209514000,1,Spitha,N,Cyprus (Republic of) ,Foreign,1,224.0,224.0,1,Cargo
209532000,1,Mercurius,N,Cyprus (Republic of) ,Foreign,1,182.0,182.0,1,Cargo
209563000,1,Mv Cap Bon,N,Cyprus (Republic of) ,Foreign,1,210.0,210.0,1,Cargo
209570000,1,Alianca Inca,N,Cyprus (Republic of) ,Foreign,1,148.0,148.0,1,Cargo
209579000,1,Stadt Luneburg,N,Cyprus (Republic of) ,Foreign,1,145.0,145.0,1,Cargo
209593000,1,Bulk Victory,N,Cyprus (Republic of) ,Foreign,1,167.0,167.0,1,Cargo
209596000,1,Cape Breeze,N,Cyprus (Republic of) ,Foreign,1,292.0,292.0,1,Cargo
209602000,1,M/v Dinkeldiep,N,Cyprus (Republic of) ,Foreign,1,106.0,106.0,1,Cargo
209605000,1,Akili,N,Cyprus (Republic of) ,Foreign,1,190.0,190.0,1,Cargo
209611000,1,Mcp Famagusta,N,Cyprus (Republic of) ,Foreign,1,117.0,117.0,1,Cargo
209619000,1,Stadt Rendsburg,N,Cyprus (Republic of) ,Foreign,1,147.0,147.0,1,Cargo
209630000,1,Ual Angola,N,Cyprus (Republic of) ,Foreign,1,126.0,126.0,1,Cargo
209632000,1,Mattheos I,N,Cyprus (Republic of) ,Foreign,1,183.0,183.0,1,Tanker
209656000,1,Onego Buran,N,Cyprus (Republic of) ,Foreign,1,117.0,117.0,1,Cargo
209676000,1,Nordrhine,N,Cyprus (Republic of) ,Foreign,1,225.0,225.0,1,Cargo
209726000,1,Mount Mckinney,N,Cyprus (Republic of) ,Foreign,2,173.0/182.0,182.0,1,Tanker
209728000,2,Nordtrave/Trave,N,Cyprus (Republic of) ,Foreign,1,225.0,225.0,1,Cargo
209740000,3,+ Alida Gorthon +/+alida Gorthon+/Alida Gorthon,N,Cyprus (Republic of) ,Foreign,1,141.0,141.0,1,Cargo
209793000,1,Chryssa K,N,Cyprus (Republic of) ,Foreign,1,189.0,189.0,1,Cargo
209809000,1,Tegesos,N,Cyprus (Republic of) ,Foreign,1,209.0,209.0,1,Cargo
209819000,1,Ayia Marina,N,Cyprus (Republic of) ,Foreign,1,188.0,188.0,1,Cargo
209849000,1,Brazilian Confidence,N,Cyprus (Republic of) ,Foreign,2,169.0/170.0,170.0,1,Cargo
209886000,1,Nordems,N,Cyprus (Republic of) ,Foreign,1,225.0,225.0,1,Cargo
209901000,2,Baltic Commander 1/Baltic Commander I,N,Cyprus (Republic of) ,Foreign,1,182.0,182.0,1,Tanker
209913000,1,Iller Trader,N,Cyprus (Republic of) ,Foreign,1,138.0,138.0,1,Cargo
209933000,1,Ubc Sagunto,N,Cyprus (Republic of) ,Foreign,1,172.0,172.0,1,Cargo
209949000,1,Autumn E,N,Cyprus (Republic of) ,Foreign,1,246.0,246.0,1,Cargo
209978000,1,Kamari,N,Cyprus (Republic of) ,Foreign,1,242.0,242.0,1,Cargo
209993000,1,Eiren,N,Cyprus (Republic of) ,Foreign,1,224.0,224.0,1,Cargo
209996000,1,Greenwing,N,Cyprus (Republic of) ,Foreign,2,185.0/186.0,186.0,1,Cargo
210006000,1,Onego Passat,N,Cyprus (Republic of) ,Foreign,1,117.0,117.0,1,Cargo
210021000,2,Mv Pontoklydon/Pontoklydon,N,Cyprus (Republic of) ,Foreign,1,169.0,169.0,1,Cargo
210029000,1,Eleni,N,Cyprus (Republic of) ,Foreign,1,229.0,229.0,1,Cargo
210038000,1,Hudson River,N,Cyprus (Republic of) ,Foreign,1,148.0,148.0,1,Cargo
210059000,1,Ubc Singapore,N,Cyprus (Republic of) ,Foreign,1,172.0,172.0,1,Cargo
210063000,1,Summit Africa,N,Cyprus (Republic of) ,Foreign,1,229.0,229.0,1,Tanker
210066000,1,Dimitris Apesakis,N,Cyprus (Republic of) ,Foreign,1,229.0,229.0,1,Cargo
210089000,1,Conti Harmony,N,Cyprus (Republic of) ,Foreign,1,209.0,209.0,1,Cargo
210090000,1,Vitality,N,Cyprus (Republic of) ,Foreign,1,198.0,198.0,1,Cargo
210137000,1,Mount Hope,N,Cyprus (Republic of) ,Foreign,1,182.0,182.0,1,Tanker
210190000,2,Nordweser/Weser,N,Cyprus (Republic of) ,Foreign,1,225.0,225.0,1,Cargo
210203000,1,Onego Mistral,N,Cyprus (Republic of) ,Foreign,1,117.0,117.0,1,Cargo
210208000,1,Bbc Rosario,N,Cyprus (Republic of) ,Foreign,1,138.0,138.0,1,Cargo
210234000,1,Ubc Santa Marta,N,Cyprus (Republic of) ,Foreign,1,172.0,172.0,1,Cargo
210235000,3,210235000/stadt Gera/Stadt Gera,N,Cyprus (Republic of) ,Foreign,2,1.0/166.0,166.0,2,Cargo/Unknown
210238000,1,Smaragda,N,Cyprus (Republic of) ,Foreign,1,178.0,178.0,1,Cargo
210243000,1,John F,N,Cyprus (Republic of) ,Foreign,1,190.0,190.0,1,Cargo
210253000,1,Mount Robson,N,Cyprus (Republic of) ,Foreign,2,181.0/182.0,182.0,2,Reserved/Tanker
210267000,1,Kochnev,N,Cyprus (Republic of) ,Foreign,1,113.0,113.0,1,Cargo
210274000,1,Panamax Nereid,N,Cyprus (Republic of) ,Foreign,1,225.0,225.0,1,Cargo
210305000,1,Callio,N,Cyprus (Republic of) ,Foreign,1,170.0,170.0,1,Cargo
210317000,1,Summit America,N,Cyprus (Republic of) ,Foreign,1,228.0,228.0,1,Tanker
210325000,1,Whistler,N,Cyprus (Republic of) ,Foreign,1,200.0,200.0,1,Cargo
210327000,1,Csav Itaim,N,Cyprus (Republic of) ,Foreign,1,234.0,234.0,1,Cargo
210333000,1,Nordocean,N,Cyprus (Republic of) ,Foreign,1,120.0,120.0,1,Tanker
210347000,1,Ubc Tampico,N,Cyprus (Republic of) ,Foreign,1,183.0,183.0,1,Cargo
210348000,2,210348000/Mount Karava,N,Cyprus (Republic of) ,Foreign,2,1.0/182.0,182.0,2,Tanker/Unknown
210366000,2,Elbe/Nordelbe,N,Cyprus (Republic of) ,Foreign,3,223.0/224.0/225.0,225.0,1,Cargo
210368000,1,Ingrid Gorthon,N,Cyprus (Republic of) ,Foreign,1,141.0,141.0,1,Cargo
210376000,1,Joalmi,N,Cyprus (Republic of) ,Foreign,1,183.0,183.0,1,Cargo
210377000,1,Mihalis F,N,Cyprus (Republic of) ,Foreign,1,182.0,182.0,1,Cargo
210400000,3,Almi/Osprey Arrow/Warship 55,Y,Cyprus (Republic of) ,Foreign,2,183.0/219.0,219.0,1,Cargo
210408000,1,Fabian Schulte,N,Cyprus (Republic of) ,Foreign,1,168.0,168.0,1,Cargo
210409000,1,Sarah Schulte,N,Cyprus (Republic of) ,Foreign,1,222.0,222.0,1,Cargo
210449000,3,M/t Markos 1/Markos 1/Markos I,N,Cyprus (Republic of) ,Foreign,2,183.0/188.0,188.0,1,Tanker
210464000,1,Mandarin,N,Cyprus (Republic of) ,Foreign,1,180.0,180.0,1,Cargo
210479000,1,Almasi,N,Cyprus (Republic of) ,Foreign,2,189.0/190.0,190.0,1,Cargo
210490000,1,Mount Adamello,N,Cyprus (Republic of) ,Foreign,1,181.0,181.0,1,Tanker
210516000,2,Cape Martin/Ccni Aquiles,N,Cyprus (Republic of) ,Foreign,2,222.0/226.0,226.0,1,Cargo
210529000,1,Explorius,N,Cyprus (Republic of) ,Foreign,1,167.0,167.0,1,Cargo
210538000,2,Mcp Kyrenia/Onego Zonda,N,Cyprus (Republic of) ,Foreign,1,117.0,117.0,1,Cargo
210553000,1,Mv Sosna,N,Cyprus (Republic of) ,Foreign,1,166.0,166.0,1,Cargo
210575000,1,Nordstrand,N,Cyprus (Republic of) ,Foreign,1,203.0,203.0,1,Cargo
210579000,1,Federal Weser,N,Cyprus (Republic of) ,Foreign,1,200.0,200.0,1,Cargo
210622000,1,Akmi,N,Cyprus (Republic of) ,Foreign,1,180.0,180.0,1,Cargo
